state,order
United States,0
Alabama,1
Alaska,2
Arizona,3
Arkansas,4
California,5
Colorado,6
Connecticut,7
Delaware,8
District of Columbia,9
Florida,10
Georgia,11
Hawaii,12
Idaho,13
Illinois,14
Indiana,15
Iowa,16
Kansas,17
Kentucky,18
Louisiana,19
Maine,20
Maryland,21
Massachusetts,22
Michigan,23
Minnesota,24
Mississippi,25
Missouri,26
Montana,27
Nebraska,28
Nevada,29
New Hampshire,30
New Jersey,31
New Mexico,32
New York,33
New York City,34
North Carolina,35
North Dakota,36
Ohio,37
Oklahoma,38
Oregon,39
Pennsylvania,40
Puerto Rico,41
Rhode Island,42
South Carolina,43
South Dakota,44
Tennessee,45
Texas,46
Utah,47
Vermont,48
Virginia,49
Washington,50
West Virginia,51
Wisconsin,52
Wyoming,53
